"Time (s)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"Altitude WGS84 (m)";"Speed (m/s)";"Direction (°)";"Distance (km)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)";"Satellites"
1,378633025E2;5,594335643E1;-3,386534910E0;3,730347607E1;9,177282715E1;9,029999733E0;2,388000031E2;1,357554252E0;9,593823433E0;9,628609657E0;1,500000000E1
1,388633025E2;5,594331363E1;-3,386622550E0;3,731023125E1;9,177978516E1;8,479999542E0;2,381000061E2;1,366441747E0;8,586232185E0;8,979173660E0;1,700000000E1
1,398633025E2;5,594327452E1;-3,386747020E0;3,692518640E1;9,139501953E1;8,729999542E0;2,381999969E2;1,376431352E0;7,608150482E0;8,459769249E0;1,600000000E1
1,408633025E2;5,594324277E1;-3,386897090E0;3,698235115E1;9,145251465E1;8,630000114E0;2,388999939E2;1,385597835E0;7,775206089E0;8,796554565E0;1,600000000E1
1,418633025E2;5,594319179E1;-3,387012770E0;3,689663648E1;9,136706543E1;8,960000038E0;2,386000061E2;1,393741826E0;7,443457603E0;8,527794838E0;1,600000000E1
1,428633025E2;5,594316466E1;-3,387134250E0;3,678955695E1;9,126025391E1;8,300000191E0;2,391999969E2;1,402542339E0;1,179303169E1;8,596002579E0;1,500000000E1
1,438633025E2;5,594311541E1;-3,387244880E0;3,654882438E1;9,101977539E1;8,439999580E0;2,391000061E2;1,411067464E0;1,177349758E1;8,526840210E0;1,500000000E1
1,448633025E2;5,594308070E1;-3,387366950E0;3,655081035E1;9,102203369E1;8,479999542E0;2,393999939E2;1,419896423E0;1,170828438E1;8,433103561E0;1,300000000E1
1,458633025E2;5,594303867E1;-3,387487240E0;3,479113940E1;8,926263428E1;8,010000229E0;2,400000000E2;1,428922577E0;1,160909271E1;8,282185555E0;1,400000000E1
1,468633025E2;5,594297121E1;-3,387567860E0;3,492271633E1;8,939440918E1;8,359999657E0;2,388000031E2;1,437650126E0;1,134483337E1;8,331640244E0;1,400000000E1
1,478633025E2;5,594294579E1;-3,387700460E0;3,634332396E1;9,081530762E1;7,690000057E0;2,388000031E2;1,444396947E0;1,141861439E1;8,650183678E0;1,400000000E1
1,488633025E2;5,594289768E1;-3,387766480E0;3,652065499E1;9,099279785E1;6,989999771E0;2,375000000E2;1,450811072E0;1,127466297E1;8,520276070E0;1,300000000E1
1,498633025E2;5,594286797E1;-3,387854770E0;3,629029260E1;9,076263428E1;6,659999847E0;2,381000061E2;1,457226790E0;1,130069160E1;8,593490601E0;1,300000000E1
1,508633025E2;5,594281460E1;-3,387893920E0;3,737948253E1;9,185192871E1;6,000000000E0;2,393000031E2;1,463032122E0;1,126733875E1;8,843346596E0;1,400000000E1
1,518633025E2;5,594278971E1;-3,387975870E0;3,731551734E1;9,178814697E1;6,000000000E0;2,441999969E2;1,469205249E0;1,134900284E1;9,020459175E0;1,300000000E1
1,528633025E2;5,594276973E1;-3,388068360E0;3,653253772E1;9,100537109E1;6,150000095E0;2,511999969E2;1,475077712E0;1,152754021E1;9,236219406E0;1,500000000E1
1,538633025E2;5,594275319E1;-3,388157920E0;3,659844265E1;9,107147217E1;6,150000095E0;2,595000000E2;1,481417041E0;1,173152256E1;9,245832443E0;1,600000000E1
1,548633025E2;5,594274318E1;-3,388258140E0;3,582906157E1;9,030230713E1;5,570000172E0;2,697000122E2;1,487233629E0;1,190233803E1;9,452881813E0;1,600000000E1
1,558633025E2;5,594274465E1;-3,388351510E0;3,493042719E1;8,940386963E1;5,699999809E0;2,792000122E2;1,495061647E0;1,215054226E1;9,375190735E0;1,700000000E1
